embedding_model,model_type,model_name,roc_auc_1,roc_auc_2,roc_auc_3,roc_auc_4,roc_auc_5,roc_auc_6,mean_roc_auc,std_roc_auc
Granite-125m,outlier,INNE,0.8064516129032258,0.4838709677419355,0.8709677419354839,0.9032258064516129,0.4516129032258065,1.0,0.7526881720430106,0.22961458606518947
Granite-125m,outlier,AutoEncoder,0.7419354838709677,0.935483870967742,1.0,1.0,0.22580645161290325,0.30000000000000004,0.7005376344086022,0.3527234115623306
Granite-125m,classifier,Nearest Neighbors,0.8870967741935484,0.8548387096774194,0.43548387096774194,0.8709677419354839,0.3870967741935484,0.43333333333333335,0.6448028673835126,0.24856314262803725
Granite-125m,classifier,Random Forest,0.32258064516129037,0.6612903225806451,0.2741935483870968,0.06451612903225806,0.967741935483871,0.1833333333333333,0.4122759856630824,0.3379391160940932
Granite-125m,classifier,AdaBoost,0.4193548387096774,0.6774193548387097,0.3870967741935484,0.12903225806451613,0.967741935483871,0.3666666666666667,0.49121863799283155,0.2913565154723369
Granite-125m,classifier,Logistic Regression,0.8064516129032258,0.8709677419354839,0.6774193548387097,0.9032258064516129,0.935483870967742,0.5333333333333333,0.7878136200716845,0.15448984993143716
Granite-125m,classifier,Neural Network,0.935483870967742,0.8709677419354839,0.967741935483871,0.8709677419354839,1.0,0.9666666666666667,0.935304659498208,0.05385118288272536
Granite-107m,outlier,COPOD,0.8064516129032258,0.7419354838709677,1.0,1.0,0.7419354838709677,1.0,0.8817204301075269,0.13169299692382677
Granite-107m,outlier,LOF,0.7741935483870968,0.7096774193548387,1.0,1.0,0.7419354838709677,0.9,0.8543010752688173,0.1300030683487516
Granite-107m,outlier,OCSVM,0.935483870967742,0.7096774193548387,1.0,1.0,0.8064516129032258,1.0,0.9086021505376345,0.12311710569004165
Granite-107m,outlier,IForest,0.8064516129032258,0.4838709677419355,1.0,1.0,0.6774193548387097,1.0,0.8279569892473119,0.21462322494407998
Granite-107m,outlier,DIF,0.6451612903225806,0.4838709677419355,0.967741935483871,1.0,0.5483870967741935,0.8333333333333334,0.746415770609319,0.21874299728920932
Granite-107m,outlier,INNE,0.8387096774193549,0.7419354838709677,1.0,1.0,0.6774193548387097,1.0,0.8763440860215054,0.14486229661620945
Granite-107m,outlier,AutoEncoder,0.967741935483871,0.6129032258064516,0.8709677419354839,0.8387096774193549,0.8064516129032258,1.0,0.8494623655913979,0.13786942300924393
Granite-107m,classifier,Nearest Neighbors,0.7903225806451613,0.6774193548387097,0.8870967741935484,0.8225806451612904,0.7903225806451614,0.8333333333333333,0.8001792114695342,0.06988558002953865
Granite-107m,classifier,Random Forest,0.7258064516129032,0.9032258064516129,0.2741935483870968,0.24193548387096775,0.6935483870967741,0.6,0.5731182795698925,0.26326744347058295
Granite-107m,classifier,AdaBoost,0.967741935483871,1.0,0.935483870967742,0.6129032258064516,0.8064516129032258,0.9333333333333333,0.8759856630824373,0.144689263076619
Granite-107m,classifier,Logistic Regression,1.0,1.0,1.0,0.8709677419354839,0.967741935483871,1.0,0.9731182795698925,0.05168006383095878
Granite-107m,classifier,Neural Network,0.967741935483871,1.0,1.0,0.8387096774193549,0.967741935483871,0.9333333333333333,0.9512544802867384,0.06047052819774376
Granite-278m,outlier,COPOD,0.967741935483871,0.7741935483870968,1.0,1.0,0.6129032258064516,1.0,0.89247311827957,0.16278873864753174
Granite-278m,outlier,LOF,0.8387096774193549,0.5161290322580645,0.8709677419354839,0.8064516129032258,0.5806451612903225,1.0,0.7688172043010754,0.1840877801142006
Granite-278m,outlier,OCSVM,0.9032258064516129,0.7419354838709677,0.967741935483871,1.0,0.5806451612903225,1.0,0.8655913978494624,0.16998092157946992
Granite-278m,outlier,IForest,0.7419354838709677,0.6451612903225806,0.935483870967742,1.0,0.3870967741935484,1.0,0.7849462365591399,0.24282988797067132
Granite-278m,outlier,DIF,0.7741935483870968,0.25806451612903225,0.935483870967742,0.8387096774193549,0.3870967741935484,1.0,0.6989247311827956,0.304435928932239
Granite-278m,outlier,INNE,0.7741935483870968,0.5483870967741935,0.935483870967742,0.967741935483871,0.4193548387096774,1.0,0.7741935483870966,0.24139725075960916
Granite-278m,outlier,AutoEncoder,0.7096774193548387,0.6451612903225806,1.0,0.7096774193548387,0.5806451612903225,0.33333333333333337,0.6630824372759857,0.21619767450774835
Granite-278m,classifier,Nearest Neighbors,0.8709677419354839,0.8548387096774194,0.43548387096774194,0.3870967741935484,0.9032258064516129,0.3833333333333333,0.63915770609319,0.26094060774590455
Granite-278m,classifier,Random Forest,0.2903225806451613,0.532258064516129,0.2741935483870968,0.24193548387096775,0.8387096774193548,0.08333333333333331,0.3767921146953405,0.26827050142336234
Granite-278m,classifier,AdaBoost,0.7741935483870968,0.7741935483870968,0.7741935483870968,0.5483870967741935,0.935483870967742,0.43333333333333335,0.7066308243727598,0.18209913667958566
Granite-278m,classifier,Logistic Regression,0.935483870967742,1.0,0.967741935483871,0.8709677419354839,1.0,0.8333333333333334,0.9345878136200717,0.06922064759683269
Granite-278m,classifier,Neural Network,0.935483870967742,1.0,1.0,0.8387096774193549,1.0,0.8333333333333334,0.9345878136200717,0.08035191606830347
ModernBERT-base,outlier,COPOD,0.5483870967741935,0.967741935483871,0.4838709677419355,0.8064516129032258,0.935483870967742,0.6,0.7236559139784946,0.20727323069065978
ModernBERT-base,outlier,LOF,0.5806451612903225,1.0,0.5161290322580645,1.0,0.935483870967742,0.6333333333333333,0.7775985663082438,0.22442013424539084
ModernBERT-base,outlier,OCSVM,0.19354838709677424,0.9032258064516129,0.09677419354838712,0.4838709677419355,0.8709677419354839,0.33333333333333337,0.4802867383512545,0.3412969399028287
ModernBERT-base,outlier,IForest,0.29032258064516125,0.967741935483871,0.5161290322580645,0.7741935483870968,1.0,0.5666666666666667,0.6858422939068101,0.2776363381379912
ModernBERT-base,outlier,DIF,0.4838709677419355,0.8709677419354839,0.5161290322580645,0.967741935483871,0.967741935483871,0.5,0.717741935483871,0.2413433614296019
ModernBERT-base,outlier,INNE,0.3548387096774194,1.0,0.5161290322580645,0.935483870967742,1.0,0.5666666666666667,0.7288530465949821,0.2832597008373628
ModernBERT-base,outlier,AutoEncoder,0.967741935483871,0.9032258064516129,0.9032258064516129,0.9032258064516129,0.8064516129032258,1.0,0.913978494623656,0.0666319715476545
ModernBERT-base,classifier,Nearest Neighbors,1.0,0.967741935483871,1.0,1.0,0.9838709677419355,0.9,0.975268817204301,0.03906645618190311
ModernBERT-base,classifier,Random Forest,1.0,0.564516129032258,1.0,0.967741935483871,0.7419354838709676,1.0,0.8790322580645161,0.18411133129194865
ModernBERT-base,classifier,AdaBoost,1.0,0.8064516129032258,1.0,1.0,0.8387096774193549,1.0,0.9408602150537635,0.09218509784667875
ModernBERT-base,classifier,Logistic Regression,1.0,0.935483870967742,1.0,1.0,0.9032258064516129,1.0,0.9731182795698925,0.04287613341371373
ModernBERT-base,classifier,Neural Network,1.0,0.967741935483871,1.0,1.0,0.935483870967742,1.0,0.9838709677419355,0.026989033114002414
ModernBERT-large,outlier,COPOD,0.5483870967741935,0.967741935483871,0.8387096774193549,0.6129032258064516,0.7419354838709677,0.7,0.7349462365591398,0.1522692268552767
ModernBERT-large,outlier,LOF,0.6774193548387097,1.0,0.8387096774193549,0.5483870967741935,0.8709677419354839,0.7,0.7725806451612903,0.16146764446203007
ModernBERT-large,outlier,OCSVM,0.6774193548387097,0.935483870967742,0.5161290322580645,0.6129032258064516,0.9032258064516129,0.5,0.6908602150537634,0.18876251443009429
ModernBERT-large,outlier,IForest,0.4838709677419355,1.0,0.7741935483870968,0.5806451612903225,1.0,0.7666666666666666,0.7675627240143369,0.21143232161498335
ModernBERT-large,outlier,DIF,0.5806451612903225,0.935483870967742,0.8387096774193549,0.8064516129032258,0.967741935483871,0.5333333333333333,0.7770609318996415,0.18116498003302123
ModernBERT-large,outlier,INNE,0.5806451612903225,0.967741935483871,0.7741935483870968,0.7096774193548387,0.9032258064516129,0.8,0.7892473118279569,0.13786942300924396
ModernBERT-large,outlier,AutoEncoder,0.5806451612903225,0.12903225806451613,0.8709677419354839,0.8387096774193549,0.5161290322580645,0.7666666666666666,0.6170250896057348,0.27772794095654124
ModernBERT-large,classifier,Nearest Neighbors,1.0,0.467741935483871,0.9516129032258064,1.0,0.9838709677419355,0.8833333333333334,0.8810931899641578,0.20720918818043974
ModernBERT-large,classifier,Random Forest,0.9354838709677419,0.7741935483870968,1.0,1.0,0.7580645161290323,1.0,0.9112903225806451,0.11529720000426785
ModernBERT-large,classifier,AdaBoost,1.0,0.9032258064516129,1.0,1.0,0.935483870967742,1.0,0.9731182795698925,0.04287613341371373
ModernBERT-large,classifier,Logistic Regression,1.0,0.967741935483871,1.0,1.0,0.967741935483871,1.0,0.989247311827957,0.01665799288691361
ModernBERT-large,classifier,Neural Network,1.0,0.967741935483871,1.0,1.0,1.0,1.0,0.9946236559139785,0.013169299692382666
